Community Lot ID,NH Task Name,Tickets Name,Created By: Full Name,Design QA Score,Design QA Date,Design QA Result
a3TUS00000B1tk8,Design QA,QA-001,Mary Genevieve Mendoza,100,6/16/2026,Pass
a3TUS00000C94iG,Design QA,QA-001,Mary Genevieve Mendoza,100,8/4/2026,Pass
a3TUS00000B16gt,Design QA,QA-001,Mary Genevieve Mendoza,100,8/20/2026,Pass
a3TUS00000B0oRn,Design QA,QA-001,Mary Genevieve Mendoza,100,8/12/2026,Pass
a3TUS00000C940g,Design QA,QA-001,Mary Genevieve Mendoza,100,8/3/2026,Pass
a3TUS00000C940f,Design QA,QA-001,Mary Genevieve Mendoza,99,8/3/2026,Fail
a3TUS00000B1Z8D,Design QA,QA-001,Mary Genevieve Mendoza,100,6/1/2026,Pass
a3TUS00000BlpVO,Design QA,QA-001,Mary Genevieve Mendoza,100,7/24/2026,Pass
a3TUS00000B19YL,Design QA,QA-001,Mary Genevieve Mendoza,100,6/3/2026,Pass
a3TUS00000B1aZT,Design QA,QA-001,Mary Genevieve Mendoza,100,5/26/2026,Pass
a3TUS00000BlpVN,Design QA,QA-001,Mary Genevieve Mendoza,100,9/3/2026,Pass
a3TUS00000Bry7o,Design QA,QA-001,Mary Genevieve Mendoza,100,7/20/2026,Pass
a3TUS00000Bry7m,Design QA,QA-001,Mary Genevieve Mendoza,100,7/20/2026,Pass
a3TUS00000Bry7r,Design QA,QA-001,Mary Genevieve Mendoza,100,7/21/2026,Pass
a3TUS00000Bry7p,Design QA,QA-001,Mary Genevieve Mendoza,100,7/21/2026,Pass
a3TUS00000Bry7n,Design QA,QA-001,Mary Genevieve Mendoza,100,7/20/2026,Pass
a3TUS00000B1MME,Design QA,QA-001,Mary Genevieve Mendoza,100,6/3/2026,Pass
a3TUS00000B1pK1,Design QA,QA-001,Mary Genevieve Mendoza,100,7/31/2026,Pass
a3TUS00000B1aZk,Design QA,QA-001,Mary Genevieve Mendoza,100,8/14/2026,Pass
a3TUS00000B1j7T,Design QA,QA-001,Mary Genevieve Mendoza,100,6/17/2026,Pass
a3TUS00000B1Og7,Design QA,QA-001,Mary Genevieve Mendoza,100,6/25/2026,Pass
a3TUS00000B1u7L,Design QA,QA-001,Mary Genevieve Mendoza,100,6/16/2026,Pass
a3TUS00000B1W4d,Design QA,QA-001,Mary Genevieve Mendoza,100,6/3/2026,Pass
a3TiL0000005ZbR,Design QA,QA-001,Mary Genevieve Mendoza,99,9/10/2026,Fail
a3TUS00000B19G2,Design QA,QA-001,Mary Genevieve Mendoza,100,8/11/2026,Pass
a3TUS00000Blmne,Design QA,QA-001,Mary Genevieve Mendoza,100,7/24/2026,Pass
a3TUS00000B1ZLr,Design QA,QA-001,Mary Genevieve Mendoza,100,6/25/2026,Pass
a3TUS00000B18Fi,Design QA,QA-001,Mary Genevieve Mendoza,100,8/12/2026,Pass
a3TUS00000B0t50,Design QA,QA-001,Mary Genevieve Mendoza,100,6/1/2026,Pass
a3TUS00000B1W7a,Design QA,QA-001,Mary Genevieve Mendoza,99,7/2/2026,Fail
a3TUS00000B11eL,Design QA,QA-001,Mary Genevieve Mendoza,100,8/20/2026,Pass
a3TUS00000Bry7q,Design QA,QA-001,Mary Genevieve Mendoza,100,7/21/2026,Pass
a3TUS00000B1c2c,Design QA,QA-001,Mary Genevieve Mendoza,100,6/25/2026,Pass
a3TiL0000003TYX,Design QA,QA-001,Mary Genevieve Mendoza,100,9/7/2026,Pass
a3TiL0000003TYY,Design QA,QA-001,Mary Genevieve Mendoza,98,9/7/2026,Fail
a3TUS00000BCRuB,Design QA,QA-001,Mary Genevieve Mendoza,100,6/5/2026,Pass
a3TUS00000BCRuF,Design QA,QA-001,Mary Genevieve Mendoza,100,6/5/2026,Pass
a3TUS00000BCRuD,Design QA,QA-001,Mary Genevieve Mendoza,100,6/5/2026,Pass
a3TUS00000BCRuE,Design QA,QA-001,Mary Genevieve Mendoza,100,6/5/2026,Pass
a3TUS00000BCRuG,Design QA,QA-001,Mary Genevieve Mendoza,100,6/5/2026,Pass
a3TUS00000BCRu9,Design QA,QA-001,Mary Genevieve Mendoza,100,6/8/2026,Pass
a3TUS00000BCRuC,Design QA,QA-001,Mary Genevieve Mendoza,100,6/5/2026,Pass
a3TUS00000BCRuA,Design QA,QA-001,Mary Genevieve Mendoza,100,6/8/2026,Pass
a3TUS00000B1G6B,Design QA,QA-001,Mary Genevieve Mendoza,100,8/20/2026,Pass
a3TUS00000B0yQw,Design QA,QA-001,Mary Genevieve Mendoza,100,7/24/2026,Pass
a3TUS00000B0wxO,Design QA,QA-001,Mary Genevieve Mendoza,100,8/17/2026,Pass
a3TiL0000000Caf,Design QA,QA-001,Mary Genevieve Mendoza,100,8/28/2026,Pass
a3TUS00000B1dVq,Design QA,QA-001,Mary Genevieve Mendoza,100,8/11/2026,Pass
a3TUS00000BIlGf,Design QA,QA-001,Mary Genevieve Mendoza,100,6/11/2026,Pass
